DRAI_DESCR,,,,,
Black Cotton Soil,,,,,
Sandy Soil,,,,,
Clay soil,,,,,
Loam Soil,,,,,
Alluvial Soil,,,,,
,,,,,
,,,,,
Year,Extreme Drought,Severe Drought,Moderate Drought,No Drought,Wet
2010,73093.32,38320.29,60867.99,84109.05,330707.88
%,12.45,6.53,10.37,14.33,56.33
2011,234480.15,29704.41,76326.03,109008.45,137579.49
%,39.94,5.06,13,18.57,23.43
2012,53907.03,36691.56,79218.45,112984.38,304297.11
%,9.18,6.25,13.49,19.24,51.83
2013,27568.08,25857.36,73308.51,73093.32,302101.74
%,4.7,4.4,12.49,26.96,51.46
2014,27568.08,25857.36,73308.51,158262.84,302101.74
%,4.7,4.4,12.49,26.96,51.46
2015,16951.86,34079.67,71520.84,380945.16,587098.53
%,2.89,5.8,14.24,12.18,64.89
2016,18525.15,10721.61,24559.02,35384.22,497908.53
%,3.16,1.83,4.18,6.03,84.81
2017,88294.68,40442.58,67041.18,65111.58,326208.51
%,15.04,6.89,11.42,11.09,55.56
2018,166076.46,58916.16,69786.45,67907.07,224412.39
%,28.29,10.04,11.89,11.57,38.22
2019,115883.55,59314.95,65349.45,36923.4,309627.18
%,19.74,10.1,11.13,6.29,52.74
2020,28982.97,14167.17,27743.67,42136.65,474068.07
%,4.94,2.41,4.73,7.18,80.75
,,,,,
,,,,,
,,,,,
,,,,,
Year,Extreme Drought,Severe Drought,Moderate Drought,No Drought,Wet
2010,73093.32,38320.29,60867.99,84109.05,330707.88
,12.45,6.53,10.37,14.33,56.33
2011,234480.15,29704.41,76326.03,109008.45,137579.49
,39.94,5.06,13,18.57,23.43
2012,53907.03,36691.56,79218.45,112984.38,304297.11
,9.18,6.25,13.49,19.24,51.83
2013,27568.08,25857.36,73308.51,73093.32,302101.74
,4.7,4.4,12.49,26.96,51.46
2014,27568.08,25857.36,73308.51,158262.84,302101.74
,4.7,4.4,12.49,26.96,51.46
2015,16951.86,34079.67,71520.84,380945.16,587098.53
,2.89,5.8,14.24,12.18,64.89
2016,18525.15,10721.61,24559.02,35384.22,497908.53
,3.16,1.83,4.18,6.03,84.81
2017,88294.68,40442.58,67041.18,65111.58,326208.51
,15.04,6.89,11.42,11.09,55.56
2018,166076.46,58916.16,69786.45,67907.07,224412.39
,28.29,10.04,11.89,11.57,38.22
2019,115883.55,59314.95,65349.45,36923.4,309627.18
,19.74,10.1,11.13,6.29,52.74
2020,28982.97,14167.17,27743.67,42136.65,474068.07
,4.94,2.41,4.73,7.18,80.75
